,StationID,StationName,Latitude,Longitude,Suburb,Road,Neighborhood
436,3299.0,E 98 St & Park Ave,40.7881,-73.9521,Manhattan,East 100th Street,
437,3300.0,Prospect Park West & 8 St,40.6651,-73.9764,Brooklyn,Prospect Park West,
438,3301.0,Columbus Ave & W 95 St,40.792,-73.9681,Manhattan,Columbus Avenue,
439,3302.0,Columbus Ave & W 103 St,40.7969,-73.9643,,Columbus Avenue,Bloomingdale
440,3303.0,Butler St & Court St,40.685,-73.9944,Brooklyn,Butler Street,
441,3304.0,6 Ave & 9 St,40.6681,-73.9838,Brooklyn,6th Avenue,Park Slope
442,3305.0,E 91 St & 2 Ave,40.7811,-73.9497,Manhattan,East 91st Street,Yorkville
443,3306.0,10 St & 7 Ave,40.6662,-73.982,Brooklyn,10th Street,Park Slope
444,3307.0,West End Ave & W 94 St,40.7942,-73.9741,Manhattan,West End Avenue,
445,3308.0,Kane St & Clinton St,40.6862,-73.9965,Brooklyn,Kane Street,Cobble Hill Historic District
446,3309.0,E 97 St & 3 Ave,40.7859,-73.9486,,East 97th Street,East Harlem
447,3310.0,14 St & 7 Ave,40.6638,-73.984,Brooklyn,14th Street,Park Slope
448,3311.0,Columbia St & Kane St,40.6876,-74.0016,Brooklyn,Columbia Street Greenway,
449,3312.0,1 Ave & E 94 St,40.7817,-73.9459,Manhattan,1st Avenue,Yorkville
450,3313.0,6 Ave & 12 St,40.6663,-73.9855,Brooklyn,12th Street,Park Slope
451,3314.0,W 95 St & Broadway,40.7938,-73.9719,Manhattan,West 95th Street,
452,3315.0,Henry St & Degraw St,40.6848,-73.9992,Brooklyn,Henry Street,Cobble Hill Historic District
453,3317.0,10 St & 5 Ave,40.6686,-73.987,Brooklyn,5th Avenue,
454,3318.0,2 Ave & E 96 St,40.784,-73.9472,Manhattan,East 94th Street,Yorkville
455,3319.0,14 St & 5 Ave,40.6663,-73.989,Brooklyn,14th Street,Park Slope
456,3320.0,Central Park West & W 100 St,40.7941,-73.9629,Manhattan,Central Park West,
457,3321.0,Clinton St & Union St,40.6831,-73.9979,Brooklyn,Clinton Street,Cobble Hill Historic District
458,3322.0,12 St & 4 Ave,40.6686,-73.9904,Brooklyn,12th Street,Park Slope
459,3323.0,W 106 St & Central Park West,40.7982,-73.9606,Manhattan,West 106th Street,
460,3324.0,3 Ave & 14 St,40.6685,-73.9933,Brooklyn,3rd Avenue,
461,3326.0,Clinton St & Centre St,40.6743,-74.0019,Brooklyn,Clinton Street,
462,3327.0,3 Ave & E 100 St,40.7877,-73.9473,,3rd Avenue,East Harlem
463,3328.0,W 100 St & Manhattan Ave,40.795,-73.9645,Manhattan,West 100th Street,
464,3329.0,Degraw St & Smith St,40.6829,-73.9932,Brooklyn,Smith Street,Boerum Hill
465,3330.0,Henry St & Bay St,40.6725,-74.0049,Brooklyn,Henry Street,
466,3331.0,Riverside Dr & W 104 St,40.8013,-73.9711,Manhattan,Riverside Drive,
467,3332.0,Degraw St & Hoyt St,40.682,-73.9908,Brooklyn,Degraw Street,
468,3333.0,Columbia St & Lorraine St,40.6747,-74.0076,Brooklyn,Columbia Street,
469,3335.0,Union St & 4 Ave,40.6773,-73.9828,Brooklyn,Union Street,Park Slope
470,3336.0,E 97 St & Madison Ave,40.7878,-73.9536,Manhattan,East 97th Street,
471,3337.0,Dwight St & Van Dyke St,40.6736,-74.012,Brooklyn,Dwight Street,
472,3338.0,2 Ave & E 99 St,40.7863,-73.9455,Manhattan,2nd Avenue,
473,3339.0,Berkeley Pl & 6 Ave,40.6765,-73.9785,Brooklyn,Berkeley Place,Park Slope
474,3340.0,Wolcott St & Dwight St,40.6753,-74.0101,Brooklyn,Wolcott Street,
475,3341.0,Central Park West & W 102 St,40.7953,-73.9619,Manhattan,Central Park Outer Loop,
476,3342.0,Pioneer St & Richards St,40.6778,-74.0095,Brooklyn,,
477,3343.0,W 107 St & Columbus Ave,40.7998,-73.9621,Manhattan,West 107th Street,
478,3344.0,Pioneer St & Van Brunt St,40.679,-74.0112,Brooklyn,Pioneer Street,
479,3345.0,Madison Ave & E 99 St,40.7895,-73.9524,,Madison Avenue,East Harlem
480,3346.0,Berkeley Pl & 7 Ave,40.6751,-73.9752,Brooklyn,7th Avenue,Park Slope
481,3347.0,Van Brunt St & Wolcott St,40.6773,-74.0128,Brooklyn,Wolcott Street,
482,3348.0,Coffey St & Conover St,40.6772,-74.0157,Brooklyn,Coffey Street,
483,3349.0,Grand Army Plaza & Plaza St West,40.673,-73.9709,Brooklyn,Plaza Street West,Park Slope
484,3350.0,W 100 St & Broadway,40.7974,-73.9704,Manhattan,West 100th Street,
485,3351.0,E 102 St & 1 Ave,40.787,-73.9416,,East 102nd Street,East Harlem
486,3352.0,Sigourney St & Columbia St,40.6727,-74.0088,Brooklyn,Sigourney Street,
487,3354.0,3 St & Prospect Park West,40.6681,-73.9736,Brooklyn,3rd Street,
488,3355.0,E 66 St & Madison Ave,40.768,-73.9685,,East 66th Street,Lenox Hill
489,3356.0,Amsterdam Ave & W 66 St,40.7747,-73.9847,Manhattan,Amsterdam Avenue,Lincoln Square
490,3357.0,W 106 St & Amsterdam Ave,40.8008,-73.9664,Manhattan,West 106th Street,
491,3358.0,Garfield Pl & 8 Ave,40.6712,-73.9748,Brooklyn,Garfield Place,Park Slope
492,3359.0,E 68 St & Madison Ave,40.7692,-73.967,Manhattan,East 68th Street,
493,3360.0,Amsterdam Ave & W 79 St,40.7829,-73.9787,Manhattan,Amsterdam Avenue,
494,3361.0,Carroll St & 6 Ave,40.6741,-73.9787,Brooklyn,Carroll Street,Park Slope
495,3362.0,Madison Ave & E 82 St,40.7781,-73.9607,Manhattan,East 81st Street,
496,3363.0,E 102 St & Park Ave,40.7905,-73.9503,,East 102nd Street,East Harlem
497,3364.0,Carroll St & 5 Ave,40.6752,-73.9815,Brooklyn,Carroll Street,Park Slope
498,3365.0,3 St & 7 Ave,40.6704,-73.9784,Brooklyn,3rd Street,Park Slope
499,3366.0,West End Ave & W 107 St,40.8021,-73.9682,Manhattan,West End Avenue,
500,3367.0,5 Ave & E 103 St,40.7923,-73.9525,Manhattan,East 103rd Street,
501,3368.0,5 Ave & 3 St,40.6728,-73.9835,Brooklyn,3rd Street,Park Slope
502,3369.0,E 82 St & East End Ave,40.7725,-73.9468,Manhattan,East 82nd Street,Yorkville
503,3370.0,E 78 St & 2 Ave,40.7728,-73.9558,Manhattan,East 78th Street,
504,3372.0,E 74 St & 1 Ave,40.769,-73.9548,,East 74th Street,Lenox Hill
505,3373.0,3 St & 3 Ave,40.6751,-73.9878,Brooklyn,3rd Street,
506,3374.0,Central Park North & Adam Clayton Powell Blvd,40.7995,-73.9556,Manhattan,Central Park Outer Loop,
507,3375.0,3 Ave & E 72 St,40.7699,-73.9606,,3rd Avenue,Lenox Hill
508,3376.0,E 65 St & 2 Ave,40.7647,-73.9622,Manhattan,East 65th Street,
509,3377.0,Carroll St & Bond St,40.6786,-73.9904,Brooklyn,Bond Street,
510,3378.0,E 76 St & Park Ave,40.7738,-73.9622,Manhattan,East 76th Street,
511,3379.0,E 103 St & Lexington Ave,40.7903,-73.9476,,Lexington Avenue,East Harlem
512,3381.0,3 St & Hoyt St,40.6777,-73.9936,Brooklyn,3rd Street,
513,3382.0,Carroll St & Smith St,40.6806,-73.9948,Brooklyn,Smith Street,Boerum Hill
514,3383.0,Cathedral Pkwy & Broadway,40.8042,-73.967,Manhattan,Cathedral Parkway,Bloomingdale
515,3384.0,Smith St & 3 St,40.6787,-73.996,Brooklyn,Smith Street,Boerum Hill
516,3386.0,1 Pl & Clinton St,40.681,-73.9991,Brooklyn,1st Place,
517,3387.0,E 106 St & Madison Ave,40.7934,-73.9495,,Madison Avenue,East Harlem
518,3388.0,President St & Henry St,40.6828,-73.9999,Brooklyn,President Street,
519,3389.0,Carroll St & Columbia St,40.683,-74.0035,Brooklyn,Carroll Street,
520,3390.0,E 109 St & 3 Ave,40.7933,-73.9432,,East 109th Street,East Harlem
521,3391.0,E 106 St & 1 Ave,40.7893,-73.9396,,East 106th Street,East Harlem
522,3392.0,Commerce St & Van Brunt St,40.6812,-74.0086,Brooklyn,Bowne Street,
523,3393.0,Richards St & Delavan St,40.6794,-74.0079,Brooklyn,Richards Street,
524,3394.0,Columbia St & W 9 St,40.677,-74.0065,Brooklyn,Columbia Street,
525,3395.0,Henry St & W 9 St,40.6764,-74.0032,Brooklyn,Henry Street,
526,3396.0,Clinton St & 4 Place,40.6784,-74.0001,Brooklyn,4th Place,
527,3397.0,Court St & Nelson St,40.6764,-73.9987,Brooklyn,Court Street,
528,3398.0,Smith St & 9 St,40.6747,-73.9979,Brooklyn,Smith Street,
529,3399.0,7 St & 3 Ave,40.6726,-73.9898,Brooklyn,7th Street,Park Slope
530,3400.0,E 110 St & Madison Ave,40.7962,-73.9478,,East 110th Street,East Harlem
531,3402.0,Court St & State St,40.6902,-73.992,Brooklyn,Court Street,
532,3403.0,4 Ave & 9 St,40.6705,-73.9888,Brooklyn,4th Avenue,
533,3404.0,7 St & 5 Ave,40.6705,-73.9854,Brooklyn,5th Avenue,Park Slope
534,3405.0,5 St & 6 Ave,40.6705,-73.9821,Brooklyn,5th Street,Park Slope
535,3407.0,Union St & Nevins St,40.6791,-73.9877,Brooklyn,Union Street,
536,3408.0,Congress St & Clinton St,40.6882,-73.9952,Brooklyn,Congress Street,Cobble Hill Historic District
537,3409.0,Bergen St & Smith St,40.6867,-73.9906,Brooklyn,Smith Street,Boerum Hill
538,3410.0,Dean St & Hoyt St,40.6864,-73.9876,Brooklyn,Dean Street,Boerum Hill
539,3411.0,Bond St & Bergen St,40.685,-73.9862,Brooklyn,Bergen Street,Boerum Hill
540,3412.0,Pacific St & Nevins St,40.6854,-73.983,Brooklyn,Pacific Street,
